ids	species	titles	summaries	documents
GSE100099	Homo sapiens	p53 pulses lead to distinct patterns of gene expression albeit similar DNA-binding dynamics	Investigation of mechanism of gene regulation in response to pulses in p53 protein level induced by gamma irradiation. To directly connect p53 pulses with gene expression, we collected time-course ChIP-Seq and RNA-Seq data.	p53 pulses lead to distinct patterns of gene expression albeit similar DNA-binding dynamicsInvestigation of mechanism of gene regulation in response to pulses in p53 protein level induced by gamma irradiation. To directly connect p53 pulses with gene expression, we collected time-course ChIP-Seq and RNA-Seq data.
GSE100102	Mus musculus	Innate immune sensing of cytosolic chromatin fragments through cGAS promotes senescence	Cellular senescence is triggered by various distinct stresses and characterized by a permanent cell cycle arrest. Senescent cells secrete a variety of inflammatory factors, collectively referred to as the senescence-associated secretory phenotype (SASP). The mechanism(s) underlying the regulation of the SASP remains incompletely understood. Here we define a role for innate DNA sensing in the regulation of senescence and the SASP. We find that cyclic GMP-AMP synthase (cGAS) recognizes cytosolic chromatin fragments (CCFs) in senescent cells. The activation of cGAS, in turn triggers the production of SASP factors via Stimulator of interferon genes (STING), thereby promoting paracrine senescence. We demonstrate that diverse stimuli of cellular senescence engage the cGAS-STING pathway in vitro and we show cGAS-dependent regulation of senescence upon irradiation and oncogene activation in vivo. Our findings provide insights into the mechanisms underlying cellular senescence by establishing the cGAS-STING pathway as a crucial regulator of senescence and the SASP.	Innate immune sensing of cytosolic chromatin fragments through cGAS promotes senescenceCellular senescence is triggered by various distinct stresses and characterized by a permanent cell cycle arrest. Senescent cells secrete a variety of inflammatory factors, collectively referred to as the senescence-associated secretory phenotype (SASP). The mechanism(s) underlying the regulation of the SASP remains incompletely understood. Here we define a role for innate DNA sensing in the regulation of senescence and the SASP. We find that cyclic GMP-AMP synthase (cGAS) recognizes cytosolic chromatin fragments (CCFs) in senescent cells. The activation of cGAS, in turn triggers the production of SASP factors via Stimulator of interferon genes (STING), thereby promoting paracrine senescence. We demonstrate that diverse stimuli of cellular senescence engage the cGAS-STING pathway in vitro and we show cGAS-dependent regulation of senescence upon irradiation and oncogene activation in vivo. Our findings provide insights into the mechanisms underlying cellular senescence by establishing the cGAS-STING pathway as a crucial regulator of senescence and the SASP.
GSE100106	Mus musculus	10X Genomics scRNA sequence Lacrimal Data set	Outputs from scRNA seq reads from isolated Mouse E16 and P4 lacrimal glands	10X Genomics scRNA sequence Lacrimal Data setOutputs from scRNA seq reads from isolated Mouse E16 and P4 lacrimal glands
GSE100118	Homo sapiens	Uncovering mechanisms of early human lineage specification by CRISPR/Cas9-mediated genome editing [RNA-seq]	Despite their fundamental biological and clinical importance, the molecular mechanisms that regulate the first cell fate decisions in the human embryo are not well understood. Here we use CRISPR?Cas9-mediated genome editing to investigate the function of the pluripotency transcription factor OCT4 during human embryogenesis. We identified an efficient OCT4-targeting guide RNA using an inducible human embryonic stem cell-based system and microinjection of mouse zygotes. Using these refined methods, we efficiently and specifically targeted the gene encoding OCT4 (POU5F1) in diploid human zygotes and found that blastocyst development was compromised. Transcriptomics analysis revealed that, in POU5F1-null cells, gene expression was downregulated not only for extra-embryonic trophectoderm genes, such as CDX2, but also for regulators of the pluripotent epiblast, including NANOG. By contrast, Pou5f1-null mouse embryos maintained the expression of orthologous genes, and blastocys  t development was established, but maintenance was compromised. We conclude that CRISPR?Cas9-mediated genome editing is a powerful method for investigating gene function in the context of human development.	Uncovering mechanisms of early human lineage specification by CRISPR/Cas9-mediated genome editing [RNA-seq]Despite their fundamental biological and clinical importance, the molecular mechanisms that regulate the first cell fate decisions in the human embryo are not well understood. Here we use CRISPR?Cas9-mediated genome editing to investigate the function of the pluripotency transcription factor OCT4 during human embryogenesis. We identified an efficient OCT4-targeting guide RNA using an inducible human embryonic stem cell-based system and microinjection of mouse zygotes. Using these refined methods, we efficiently and specifically targeted the gene encoding OCT4 (POU5F1) in diploid human zygotes and found that blastocyst development was compromised. Transcriptomics analysis revealed that, in POU5F1-null cells, gene expression was downregulated not only for extra-embryonic trophectoderm genes, such as CDX2, but also for regulators of the pluripotent epiblast, including NANOG. By contrast, Pou5f1-null mouse embryos maintained the expression of orthologous genes, and blastocys  t development was established, but maintenance was compromised. We conclude that CRISPR?Cas9-mediated genome editing is a powerful method for investigating gene function in the context of human development.
GSE100175	Mus musculus	Molecular characterisation of sorted populations of DRG and TG ganglia neurons	Sensory neurons were extracted from the dorsal root or trigeminal ganglia of AdvGFP transgenic mice and their molecular profile analysed via RNA-seq.	Molecular characterisation of sorted populations of DRG and TG ganglia neuronsSensory neurons were extracted from the dorsal root or trigeminal ganglia of AdvGFP transgenic mice and their molecular profile analysed via RNA-seq.
GSE100183	Homo sapiens	MYCL and EP400 are required for Max and MCPyV mediated gene activation	To determine if MYCL or EP400 knockdown would affect Max target genes in Merkel cell carcinoma cell line MKL-1, we performed RNA-seq analyses of MKL-1 cells inducibly expressing shMYCL and two different EP400 shRNA -2, -3  and compared to ChIP-seq data using BETA analyses.	MYCL and EP400 are required for Max and MCPyV mediated gene activationTo determine if MYCL or EP400 knockdown would affect Max target genes in Merkel cell carcinoma cell line MKL-1, we performed RNA-seq analyses of MKL-1 cells inducibly expressing shMYCL and two different EP400 shRNA -2, -3  and compared to ChIP-seq data using BETA analyses.
GSE100206	Homo sapiens	RNA-seq reveals abundant circRNA, lncRNA and mRNA in blood exosomes of normal persons	Exosomes are small membrane vesicles of endocytic origin secreted by most cells, and contain a wealthy cargo of protein and RNA species that can modulate recipient cellsâ behaviors and may be used as biomarkers for diagnosis of human diseases. They have been found in blood and are valuable sources for biomarkers due to selective cargo loading and resemblance to their parental cells. The goal of this study is to identify circRNA, lncRNA and mRNA profiles in human blood by high-throughput RNA sequencing (RNA-seq). 1-4 ml plasma or serum were used to extract exosomal RNAs by exoRNeasy Serum/Plasma Maxi kit (Qiagen). The exosomal RNAs were further treated with DNAse I and subjected to ribosome minus low-input RNAseq library preparation. The libraries were sequenced by Illumina Hiseq platform.	RNA-seq reveals abundant circRNA, lncRNA and mRNA in blood exosomes of normal personsExosomes are small membrane vesicles of endocytic origin secreted by most cells, and contain a wealthy cargo of protein and RNA species that can modulate recipient cellsâ behaviors and may be used as biomarkers for diagnosis of human diseases. They have been found in blood and are valuable sources for biomarkers due to selective cargo loading and resemblance to their parental cells. The goal of this study is to identify circRNA, lncRNA and mRNA profiles in human blood by high-throughput RNA sequencing (RNA-seq). 1-4 ml plasma or serum were used to extract exosomal RNAs by exoRNeasy Serum/Plasma Maxi kit (Qiagen). The exosomal RNAs were further treated with DNAse I and subjected to ribosome minus low-input RNAseq library preparation. The libraries were sequenced by Illumina Hiseq platform.
GSE100210	Homo sapiens	RNA editing by ADAR1 leads to context-dependent transcriptome-wide changes in RNA Secondary Structure	Adenosine deaminase acting on RNA 1 (ADAR1) is the master RNA editor, catalyzing the deamination of adenosine to inosine. RNA editing is vital for  preventing abnormal activation of cytosolic nucleic acid sensing pathways by self-double-stranded RNAs. Here we determine by parallel analysis of RNA secondary structure sequencing (PARS-seq), the global RNA secondary structure changes in ADAR1 deficient cells. Surprisingly, ADAR1 silencing resulted in a lower global double-stranded to single-stranded RNA ratio, suggesting that A-to-I editing can stabilize a large subset of imperfect RNA duplexes. The duplexes destabilized by editing are composed of vastly complementary inverted Alus found in untranslated regions of genes with vital biological processes, including housekeeping functions and type-I interferon responses. They are predominantly cytoplasmic and generally demonstrate higher ribosomal occupancy. Our findings imply that the editing effect on RNA secondary structure is context dependent and underline the intricate regulatory role of ADAR1 on global RNA secondary structure.	RNA editing by ADAR1 leads to context-dependent transcriptome-wide changes in RNA Secondary StructureAdenosine deaminase acting on RNA 1 (ADAR1) is the master RNA editor, catalyzing the deamination of adenosine to inosine. RNA editing is vital for  preventing abnormal activation of cytosolic nucleic acid sensing pathways by self-double-stranded RNAs. Here we determine by parallel analysis of RNA secondary structure sequencing (PARS-seq), the global RNA secondary structure changes in ADAR1 deficient cells. Surprisingly, ADAR1 silencing resulted in a lower global double-stranded to single-stranded RNA ratio, suggesting that A-to-I editing can stabilize a large subset of imperfect RNA duplexes. The duplexes destabilized by editing are composed of vastly complementary inverted Alus found in untranslated regions of genes with vital biological processes, including housekeeping functions and type-I interferon responses. They are predominantly cytoplasmic and generally demonstrate higher ribosomal occupancy. Our findings imply that the editing effect on RNA secondary structure is context dependent and underline the intricate regulatory role of ADAR1 on global RNA secondary structure.
GSE100212	Mus musculus	Increased dermal collagen bundle alignment in Systemic Sclerosis is associated with a cell migration signature and role of Arhgdib in directed fibroblast migration on aligned ECMs [bleomycin]	Systemic sclerosis (SSc) is a devastating disease affecting the skin and internal organs. Dermal fibrosis manifests early and Modified Rodnan Skin Scores (MRSS) correlate with disease progression. Transcriptomics of SSc skin biopsies suggest the role of the in vivo microenvironment in maintaining the pathological myofibroblasts. Therefore, defining the structural changes in dermal collagen in SSc patients could inform our understanding of fibrosis pathogenesis. Here, we report a method for quantitative whole-slide image analysis of dermal collagen from SSc patients, and our findings of more aligned dermal collagen bundles in diffuse cutaneous SSc (dcSSc) patients. Using the bleomycin-induced mouse model of SSc, we identified a distinct high dermal collagen bundle alignment gene signature, characterized by a concerted upregulation in cell migration, adhesion, and guidance pathways, and downregulation of spindle, replication, and cytokinesis pathways. Furthermore, increased bundle alignment induced a cell migration gene signature in fibroblasts in vitro, and these cells demonstrated increased directed migration on aligned ECM fibers that is dependent on expression of Arhgdib (Rho GDP-dissociation inhibitor 2).  Our results indicate that increased cell migration is a cellular response to the increased collagen bundle alignment featured in fibrotic skin. Moreover, many of the cell migration genes identified in our study are shared with human SSc skin and may be new targets for therapeutic intervention.	Increased dermal collagen bundle alignment in Systemic Sclerosis is associated with a cell migration signature and role of Arhgdib in directed fibroblast migration on aligned ECMs [bleomycin]Systemic sclerosis (SSc) is a devastating disease affecting the skin and internal organs. Dermal fibrosis manifests early and Modified Rodnan Skin Scores (MRSS) correlate with disease progression. Transcriptomics of SSc skin biopsies suggest the role of the in vivo microenvironment in maintaining the pathological myofibroblasts. Therefore, defining the structural changes in dermal collagen in SSc patients could inform our understanding of fibrosis pathogenesis. Here, we report a method for quantitative whole-slide image analysis of dermal collagen from SSc patients, and our findings of more aligned dermal collagen bundles in diffuse cutaneous SSc (dcSSc) patients. Using the bleomycin-induced mouse model of SSc, we identified a distinct high dermal collagen bundle alignment gene signature, characterized by a concerted upregulation in cell migration, adhesion, and guidance pathways, and downregulation of spindle, replication, and cytokinesis pathways. Furthermore, increased bundle alignment induced a cell migration gene signature in fibroblasts in vitro, and these cells demonstrated increased directed migration on aligned ECM fibers that is dependent on expression of Arhgdib (Rho GDP-dissociation inhibitor 2).  Our results indicate that increased cell migration is a cellular response to the increased collagen bundle alignment featured in fibrotic skin. Moreover, many of the cell migration genes identified in our study are shared with human SSc skin and may be new targets for therapeutic intervention.
GSE100217	Mus musculus	Heterogeneity of p53 dependent genomic responses following ethanol exposure in a developmental mouse model of fetal alcohol spectrum disorder	This study examined if p53 was essential in the brainâs response to alcohol using a mouse model of fetal alcohol spectrum disorder (FASD) that involved the equivalent of a single day of binge drinking. We quantified the amount of cell death in specific brain regions and examined the levels of gene expression in these regions 8 hours after alcohol exposure using RNA-seq. Contrary to expectations, we found that cell death still occurred at the same or greater level in the brains of mice lacking p53 as in normal mice. However, we also found evidence that the lack of p53 greatly affected the expression of groups of genes involved in brain cell communication and metabolism.	Heterogeneity of p53 dependent genomic responses following ethanol exposure in a developmental mouse model of fetal alcohol spectrum disorderThis study examined if p53 was essential in the brainâs response to alcohol using a mouse model of fetal alcohol spectrum disorder (FASD) that involved the equivalent of a single day of binge drinking. We quantified the amount of cell death in specific brain regions and examined the levels of gene expression in these regions 8 hours after alcohol exposure using RNA-seq. Contrary to expectations, we found that cell death still occurred at the same or greater level in the brains of mice lacking p53 as in normal mice. However, we also found evidence that the lack of p53 greatly affected the expression of groups of genes involved in brain cell communication and metabolism.
GSE100222	Mus musculus	Major satellite repeat RNA stabilize heterochromatin retention of Suv39h enzymes by RNA-nucleosome association and RNA:DNA hybrid formation	Molecular definition of an RNA-mediated mechanism that stabilizes association of the Suv39h enzymes at mouse heterochromatin.	Major satellite repeat RNA stabilize heterochromatin retention of Suv39h enzymes by RNA-nucleosome association and RNA:DNA hybrid formationMolecular definition of an RNA-mediated mechanism that stabilizes association of the Suv39h enzymes at mouse heterochromatin.
GSE100223	Homo sapiens	Assessing the developmental and malignant potential of human pluripotent stem cells by RNA-seq analysis of Teratomas	The International Stem Cell Initiative compared three common approaches for assessing pluripotent stem cells (PSC).  The formation of teratomas in vivo, or embryoid bodies (EB) in vitro, provide direct tests of differentiation, whereas PluriTest predicts pluripotency through bioinformatic analysis of transcriptomes of undifferentiated cells.  We studied the teratomas by histology and TeratoScore, which analyzes gene expression in each tumor.  For the EB assay, we assessed differentiation under neutral conditions and under conditions promoting differentiation to ectoderm, mesoderm, or endoderm lineages.  Comparison of each method showed that all assays predict pluripotency, but they have different endpoints that provide different insights.  For example, tumors from a subset of lines also contained undifferentiated cells and yolk sac elements that indicate possible malignant potential.  This characteristic was not detected by the other two methods.  Our results highlight the need for multiple assays to assess both pluripotency and potential malignancy in clinical applications of PSCs.	Assessing the developmental and malignant potential of human pluripotent stem cells by RNA-seq analysis of TeratomasThe International Stem Cell Initiative compared three common approaches for assessing pluripotent stem cells (PSC).  The formation of teratomas in vivo, or embryoid bodies (EB) in vitro, provide direct tests of differentiation, whereas PluriTest predicts pluripotency through bioinformatic analysis of transcriptomes of undifferentiated cells.  We studied the teratomas by histology and TeratoScore, which analyzes gene expression in each tumor.  For the EB assay, we assessed differentiation under neutral conditions and under conditions promoting differentiation to ectoderm, mesoderm, or endoderm lineages.  Comparison of each method showed that all assays predict pluripotency, but they have different endpoints that provide different insights.  For example, tumors from a subset of lines also contained undifferentiated cells and yolk sac elements that indicate possible malignant potential.  This characteristic was not detected by the other two methods.  Our results highlight the need for multiple assays to assess both pluripotency and potential malignancy in clinical applications of PSCs.
GSE100225	Mus musculus	Integrative analysis of behavioral, syaptic, and genomic plasticity in the hippocampus	We examined the the effects of cognitive training on behavior, synaptic physiology, and gene expression in the hippocampus.	Integrative analysis of behavioral, syaptic, and genomic plasticity in the hippocampusWe examined the the effects of cognitive training on behavior, synaptic physiology, and gene expression in the hippocampus.
